Código región,Región,Código provincia,Provincia,Código comuna,Comuna,Años de escolaridad promedio,Años de escolaridad promedio para la población de 18 años o más
13,Metropolitana de Santiago,131,Santiago,13103,Cerro Navia,"10,4","11,7"
13,Metropolitana de Santiago,131,Santiago,13104,Conchalí,"10,9","12,1"
13,Metropolitana de Santiago,131,Santiago,13105,El Bosque,"10,6","12,1"
13,Metropolitana de Santiago,131,Santiago,13106,Estación Central,"11,4","12,9"
13,Metropolitana de Santiago,131,Santiago,13107,Huechuraba,"12,7","14,1"
13,Metropolitana de Santiago,131,Santiago,13108,Independencia,"11,5","12,8"
13,Metropolitana de Santiago,131,Santiago,13109,La Cisterna,"11,7","13,4"
13,Metropolitana de Santiago,131,Santiago,13110,La Florida,"12,4","13,8"
13,Metropolitana de Santiago,131,Santiago,13111,La Granja,"10,7","12,1"
13,Metropolitana de Santiago,131,Santiago,13112,La Pintana,"10,2","11,5"
13,Metropolitana de Santiago,131,Santiago,13113,La Reina,"13,9","15,2"
13,Metropolitana de Santiago,131,Santiago,13114,Las Condes,"14,8","15,9"
13,Metropolitana de Santiago,131,Santiago,13115,Lo Barnechea,"13,1","14,9"
13,Metropolitana de Santiago,131,Santiago,13116,Lo Espejo,"10,1","11,3"
13,Metropolitana de Santiago,131,Santiago,13117,Lo Prado,"10,9","12,0"
13,Metropolitana de Santiago,131,Santiago,13118,Macul,"13,0","14,4"
13,Metropolitana de Santiago,131,Santiago,13119,Maipú,"11,5","12,9"
13,Metropolitana de Santiago,131,Santiago,13120,Ñuñoa,"14,8","15,9"
13,Metropolitana de Santiago,131,Santiago,13121,Pedro Aguirre Cerda,"10,3","11,6"
13,Metropolitana de Santiago,131,Santiago,13122,Peñalolén,"11,6","13,0"
13,Metropolitana de Santiago,131,Santiago,13123,Providencia,"15,3","16,2"
13,Metropolitana de Santiago,131,Santiago,13124,Pudahuel,"11,1","12,4"
13,Metropolitana de Santiago,131,Santiago,13125,Quilicura,"11,1","12,3"
13,Metropolitana de Santiago,131,Santiago,13126,Quinta Normal,"11,2","12,7"
13,Metropolitana de Santiago,131,Santiago,13127,Recoleta,"10,9","11,9"
13,Metropolitana de Santiago,131,Santiago,13128,Renca,"10,8","12,0"
13,Metropolitana de Santiago,131,Santiago,13129,San Joaquín,"11,6","13,0"
13,Metropolitana de Santiago,131,Santiago,13130,San Miguel,"12,8","14,4"
13,Metropolitana de Santiago,131,Santiago,13131,San Ramón,"10,5","11,9"
13,Metropolitana de Santiago,131,Santiago,13132,Vitacura,"14,3","16,0"
13,Metropolitana de Santiago,132,Cordillera,13201,Puente Alto,"11,3","12,6"
13,Metropolitana de Santiago,132,Cordillera,13202,Pirque,"13,0","14,0"
13,Metropolitana de Santiago,132,Cordillera,13203,San José de Maipo,"11,6","12,8"
13,Metropolitana de Santiago,133,Chacabuco,13301,Colina,"11,3","12,7"
13,Metropolitana de Santiago,133,Chacabuco,13302,Lampa,"10,7","12,2"
13,Metropolitana de Santiago,133,Chacabuco,13303,Tiltil,"10,4","12,2"
13,Metropolitana de Santiago,134,Maipo,13401,San Bernardo,"10,9","12,2"
13,Metropolitana de Santiago,134,Maipo,13402,Buin,"11,7","13,2"
13,Metropolitana de Santiago,134,Maipo,13403,Calera de Tango,"10,8","12,0"
13,Metropolitana de Santiago,134,Maipo,13404,Paine,"10,3","11,8"
13,Metropolitana de Santiago,135,Melipilla,13501,Melipilla,"10,0","11,3"
13,Metropolitana de Santiago,135,Melipilla,13502,Alhué,"10,1","11,4"
13,Metropolitana de Santiago,135,Melipilla,13503,Curacaví,"11,6","13,0"
13,Metropolitana de Santiago,135,Melipilla,13504,María Pinto,"10,0","11,4"
13,Metropolitana de Santiago,135,Melipilla,13505,San Pedro,"8,6","9,9"
13,Metropolitana de Santiago,136,Talagante,13601,Talagante,"10,6","12,2"
13,Metropolitana de Santiago,136,Talagante,13602,El Monte,"11,1","12,4"
13,Metropolitana de Santiago,136,Talagante,13603,Isla de Maipo,"10,9","12,3"
13,Metropolitana de Santiago,136,Talagante,13604,Padre Hurtado,"11,5","13,0"
13,Metropolitana de Santiago,136,Talagante,13605,Peñaflor,"11,5","13,0"
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6101,Rancagua,"11,5","13,2"
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6102,Codegua,"9,8","11,5"
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6103,Coinco,"10,6","12,2"
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6104,Coltauco,"9,8","11,2"
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6105,Doñihue,"10,4","11,7"
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6106,Graneros,"10,2","11,5"
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6107,Las Cabras,"10,0","11,6"
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6108,Machalí,"12,8","14,6"
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6109,Malloa,"9,8","11,4"
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6110,Mostazal,"10,6","12,4"
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6111,Olivar,"11,2","12,5"
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6112,Peumo,"10,4","11,3"
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6113,Pichidegua,"9,4","11,2"
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6114,Quinta de Tilcoco,"9,4","11,4"
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6115,Rengo,"10,4","11,8"
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6116,Requínoa,"10,3","11,8"
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6117,San Vicente,"10,8","12,0"
6,Libertador General Bernardo O'Higgins,62,Cardenal Caro,6201,Pichilemu,"11,4","13,1"
6,Libertador General Bernardo O'Higgins,62,Cardenal Caro,6202,La Estrella,"10,9","12,0"
6,Libertador General Bernardo O'Higgins,62,Cardenal Caro,6203,Litueche,"10,0","11,5"
6,Libertador General Bernardo O'Higgins,62,Cardenal Caro,6204,Marchihue,"11,0","12,0"
6,Libertador General Bernardo O'Higgins,62,Cardenal Caro,6205,Navidad,"11,7","13,1"
6,Libertador General Bernardo O'Higgins,62,Cardenal Caro,6206,Paredones,"9,9","12,4"
6,Libertador General Bernardo O'Higgins,63,Colchagua,6301,San Fernando,"11,2","12,8"
6,Libertador General Bernardo O'Higgins,63,Colchagua,6302,Chépica,"9,0","10,7"
6,Libertador General Bernardo O'Higgins,63,Colchagua,6303,Chimbarongo,"10,6","11,8"
6,Libertador General Bernardo O'Higgins,63,Colchagua,6304,Lolol,"9,5","11,2"
6,Libertador General Bernardo O'Higgins,63,Colchagua,6305,Nancagua,"9,9","11,7"
6,Libertador General Bernardo O'Higgins,63,Colchagua,6306,Palmilla,"10,2","12,4"
6,Libertador General Bernardo O'Higgins,63,Colchagua,6307,Peralillo,"10,5","12,3"
6,Libertador General Bernardo O'Higgins,63,Colchagua,6308,Placilla,"9,2","10,8"
6,Libertador General Bernardo O'Higgins,63,Colchagua,6309,Pumanque,"10,7","12,3"
6,Libertador General Bernardo O'Higgins,63,Colchagua,6310,Santa Cruz,"11,0","12,7"
7,Maule,71,Talca,7101,Talca,"11,7","13,5"
7,Maule,71,Talca,7102,Constitución,"11,2","12,9"
7,Maule,71,Talca,7103,Curepto,"11,9","13,2"
7,Maule,71,Talca,7104,Empedrado,"10,5","12,4"
7,Maule,71,Talca,7105,Maule,"11,3","13,1"
7,Maule,71,Talca,7106,Pelarco,"11,1","12,2"
7,Maule,71,Talca,7107,Pencahue,"10,9","12,7"
7,Maule,71,Talca,7108,Río Claro,"9,5","11,0"
7,Maule,71,Talca,7109,San Clemente,"10,3","11,4"
7,Maule,71,Talca,7110,San Rafael,"11,1","12,8"
7,Maule,72,Cauquenes,7201,Cauquenes,"11,3","12,7"
7,Maule,72,Cauquenes,7202,Chanco,"9,0","10,2"
7,Maule,72,Cauquenes,7203,Pelluhue,"11,6","13,3"
7,Maule,73,Curicó,7301,Curicó,"11,4","13,0"
7,Maule,73,Curicó,7302,Hualañé,"10,6","11,9"
7,Maule,73,Curicó,7303,Licantén,"10,0","12,1"
7,Maule,73,Curicó,7304,Molina,"10,2","11,7"
7,Maule,73,Curicó,7305,Rauco,"9,7","11,1"
7,Maule,73,Curicó,7306,Romeral,"10,2","11,8"
7,Maule,73,Curicó,7307,Sagrada Familia,"10,1","11,7"
7,Maule,73,Curicó,7308,Teno,"10,4","11,8"
7,Maule,73,Curicó,7309,Vichuquén,"11,0","12,8"
7,Maule,74,Linares,7401,Linares,"11,6","13,0"
7,Maule,74,Linares,7402,Colbún,"11,2","13,0"
7,Maule,74,Linares,7403,Longaví,"9,9","11,0"
7,Maule,74,Linares,7404,Parral,"10,7","12,1"
7,Maule,74,Linares,7405,Retiro,"10,3","11,6"
7,Maule,74,Linares,7406,San Javier,"10,5","12,0"
7,Maule,74,Linares,7407,Villa Alegre,"10,4","11,8"
7,Maule,74,Linares,7408,Yerbas Buenas,"10,8","12,2"
16,Ñuble,161,Diguillín,16101,Chillán,"12,0","13,7"
