Código región,Región,Código provincia,Provincia,Código comuna,Comuna,Viviendas particulares ocupadas con moradores presentes,Viviendas sin hacinamiento,Viviendas con hacinamiento medio,Viviendas con hacinamiento crítico,Índice de hacinamiento ignorado
5,Valparaíso,57,San Felipe de Aconcagua,5704,Panquehue,2.401,2.281,115,5,0
5,Valparaíso,57,San Felipe de Aconcagua,5705,Putaendo,5.868,5.573,263,32,0
5,Valparaíso,57,San Felipe de Aconcagua,5706,Santa María,5.286,5.045,222,19,0
5,Valparaíso,58,Marga Marga,5801,Quilpué,58.341,55.598,2.114,623,6
5,Valparaíso,58,Marga Marga,5802,Limache,19.405,18.453,856,92,4
5,Valparaíso,58,Marga Marga,5803,Olmué,7.349,6.931,359,59,0
5,Valparaíso,58,Marga Marga,5804,Villa Alemana,49.325,47.596,1.554,169,6
13,Metropolitana de Santiago,131,Santiago,13101,Santiago,199.786,174.111,14.753,10.824,98
13,Metropolitana de Santiago,131,Santiago,13102,Cerrillos,27.195,25.142,1.797,205,51
13,Metropolitana de Santiago,131,Santiago,13103,Cerro Navia,38.532,34.543,3.374,592,23
13,Metropolitana de Santiago,131,Santiago,13104,Conchalí,36.971,33.666,2.846,456,3
13,Metropolitana de Santiago,131,Santiago,13105,El Bosque,47.417,43.533,3.435,445,4
13,Metropolitana de Santiago,131,Santiago,13106,Estación Central,65.017,54.007,8.185,2.798,27
13,Metropolitana de Santiago,131,Santiago,13107,Huechuraba,29.710,27.821,1.655,233,1
13,Metropolitana de Santiago,131,Santiago,13108,Independencia,43.811,37.226,5.165,1.413,7
13,Metropolitana de Santiago,131,Santiago,13109,La Cisterna,36.799,34.341,2.127,327,4
13,Metropolitana de Santiago,131,Santiago,13110,La Florida,128.554,122.133,5.613,787,21
13,Metropolitana de Santiago,131,Santiago,13111,La Granja,35.431,32.467,2.611,349,4
13,Metropolitana de Santiago,131,Santiago,13112,La Pintana,50.730,45.836,4.404,487,3
13,Metropolitana de Santiago,131,Santiago,13113,La Reina,29.714,28.934,651,126,3
13,Metropolitana de Santiago,131,Santiago,13114,Las Condes,113.948,111.836,1.636,430,46
13,Metropolitana de Santiago,131,Santiago,13115,Lo Barnechea,31.682,30.675,835,158,14
13,Metropolitana de Santiago,131,Santiago,13116,Lo Espejo,25.016,22.600,2.125,287,4
13,Metropolitana de Santiago,131,Santiago,13117,Lo Prado,29.844,27.080,2.294,461,9
13,Metropolitana de Santiago,131,Santiago,13118,Macul,45.703,43.185,1.936,576,6
13,Metropolitana de Santiago,131,Santiago,13119,Maipú,162.286,155.398,6.210,608,70
13,Metropolitana de Santiago,131,Santiago,13120,Ñuñoa,105.990,102.961,2.238,776,15
13,Metropolitana de Santiago,131,Santiago,13121,Pedro Aguirre Cerda,29.716,27.210,2.192,303,11
13,Metropolitana de Santiago,131,Santiago,13122,Peñalolén,72.642,67.900,3.973,754,15
13,Metropolitana de Santiago,131,Santiago,13123,Providencia,67.240,65.688,932,614,6
13,Metropolitana de Santiago,131,Santiago,13124,Pudahuel,70.285,65.720,4.076,465,24
13,Metropolitana de Santiago,131,Santiago,13125,Quilicura,63.031,59.327,3.423,274,7
13,Metropolitana de Santiago,131,Santiago,13126,Quinta Normal,43.141,38.525,3.482,1.123,11
13,Metropolitana de Santiago,131,Santiago,13127,Recoleta,52.071,45.534,4.716,1.808,13
13,Metropolitana de Santiago,131,Santiago,13128,Renca,43.835,40.295,3.154,383,3
13,Metropolitana de Santiago,131,Santiago,13129,San Joaquín,31.562,28.962,2.147,446,7
13,Metropolitana de Santiago,131,Santiago,13130,San Miguel,58.485,54.560,3.263,653,9
13,Metropolitana de Santiago,131,Santiago,13131,San Ramón,21.797,19.821,1.713,260,3
13,Metropolitana de Santiago,131,Santiago,13132,Vitacura,30.770,30.384,312,68,6
13,Metropolitana de Santiago,132,Cordillera,13201,Puente Alto,178.007,168.428,8.688,805,86
13,Metropolitana de Santiago,132,Cordillera,13202,Pirque,8.918,8.441,437,40,0
13,Metropolitana de Santiago,132,Cordillera,13203,San José de Maipo,6.212,5.868,291,50,3
13,Metropolitana de Santiago,133,Chacabuco,13301,Colina,49.951,46.695,2.971,274,11
13,Metropolitana de Santiago,133,Chacabuco,13302,Lampa,44.627,41.255,3.016,353,3
13,Metropolitana de Santiago,133,Chacabuco,13303,Tiltil,6.431,6.020,370,41,0
13,Metropolitana de Santiago,134,Maipo,13401,San Bernardo,95.042,88.395,6.028,609,10
13,Metropolitana de Santiago,134,Maipo,13402,Buin,36.671,34.624,1.878,165,4
13,Metropolitana de Santiago,134,Maipo,13403,Calera de Tango,7.683,7.234,422,26,1
13,Metropolitana de Santiago,134,Maipo,13404,Paine,25.047,23.349,1.566,132,0
13,Metropolitana de Santiago,135,Melipilla,13501,Melipilla,45.253,42.552,2.473,218,10
13,Metropolitana de Santiago,135,Melipilla,13502,Alhué,2.704,2.500,192,10,2
13,Metropolitana de Santiago,135,Melipilla,13503,Curacaví,11.755,11.111,589,51,4
13,Metropolitana de Santiago,135,Melipilla,13504,María Pinto,5.169,4.902,245,20,2
13,Metropolitana de Santiago,135,Melipilla,13505,San Pedro,3.899,3.604,255,39,1
13,Metropolitana de Santiago,136,Talagante,13601,Talagante,23.762,22.384,1.251,126,1
13,Metropolitana de Santiago,136,Talagante,13602,El Monte,11.911,11.083,759,68,1
13,Metropolitana de Santiago,136,Talagante,13603,Isla de Maipo,12.666,11.879,722,63,2
13,Metropolitana de Santiago,136,Talagante,13604,Padre Hurtado,25.319,23.821,1.352,139,7
13,Metropolitana de Santiago,136,Talagante,13605,Peñaflor,29.792,27.955,1.700,135,2
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6101,Rancagua,90.497,86.251,3.876,354,16
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6102,Codegua,4.572,4.338,209,24,1
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6103,Coinco,2.755,2.601,144,10,0
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6104,Coltauco,7.406,6.978,397,31,0
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6105,Doñihue,7.601,7.173,404,23,1
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6106,Graneros,11.700,11.002,655,43,0
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6107,Las Cabras,9.625,9.011,565,49,0
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6108,Machalí,20.193,19.513,630,49,1
