Código región,Región,Código provincia,Provincia,Código comuna,Comuna,Viviendas particulares ocupadas con moradores presentes,Viviendas sin hacinamiento,Viviendas con hacinamiento medio,Viviendas con hacinamiento crítico,Índice de hacinamiento ignorado
10,Los Lagos,103,Osorno,10307,San Pablo,4.155,3.969,171,14,1
10,Los Lagos,104,Palena,10401,Chaitén,1.664,1.604,51,9,0
10,Los Lagos,104,Palena,10402,Futaleufú,1.326,1.266,53,6,1
10,Los Lagos,104,Palena,10403,Hualaihué,3.692,3.524,148,20,0
10,Los Lagos,104,Palena,10404,Palena,862,833,27,2,0
11,Aysén del General Carlos Ibáñez del Campo,111,Coyhaique,11101,Coyhaique,22.198,20.925,1.117,154,2
11,Aysén del General Carlos Ibáñez del Campo,111,Coyhaique,11102,Lago Verde,370,357,12,1,0
11,Aysén del General Carlos Ibáñez del Campo,112,Aysén,11201,Aysén,8.994,8.571,385,37,1
11,Aysén del General Carlos Ibáñez del Campo,112,Aysén,11202,Cisnes,2.171,2.064,86,19,2
11,Aysén del General Carlos Ibáñez del Campo,112,Aysén,11203,Guaitecas,603,575,27,1,0
11,Aysén del General Carlos Ibáñez del Campo,113,Capitán Prat,11301,Cochrane,1.449,1.364,75,10,0
11,Aysén del General Carlos Ibáñez del Campo,113,Capitán Prat,11302,O'Higgins,291,274,14,3,0
11,Aysén del General Carlos Ibáñez del Campo,113,Capitán Prat,11303,Tortel,231,217,10,4,0
11,Aysén del General Carlos Ibáñez del Campo,114,General Carrera,11401,Chile Chico,2.097,2.012,76,9,0
11,Aysén del General Carlos Ibáñez del Campo,114,General Carrera,11402,Río Ibáñez,1.227,1.158,55,13,1
12,Magallanes y de la Antártica Chilena,121,Magallanes,12101,Punta Arenas,48.834,46.772,1.794,264,4
12,Magallanes y de la Antártica Chilena,121,Magallanes,12102,Laguna Blanca,95,90,4,1,0
12,Magallanes y de la Antártica Chilena,121,Magallanes,12103,Río Verde,63,62,0,1,0
12,Magallanes y de la Antártica Chilena,121,Magallanes,12104,San Gregorio,108,107,1,0,0
12,Magallanes y de la Antártica Chilena,122,Antártica Chilena,12201,Cabo de Hornos,611,574,34,3,0
12,Magallanes y de la Antártica Chilena,122,Antártica Chilena,12202,Antártica,0,-,-,-,-
12,Magallanes y de la Antártica Chilena,123,Tierra del Fuego,12301,Porvenir,2.729,2.584,126,19,0
12,Magallanes y de la Antártica Chilena,123,Tierra del Fuego,12302,Primavera,177,174,3,0,0
12,Magallanes y de la Antártica Chilena,123,Tierra del Fuego,12303,Timaukel,60,56,3,1,0
12,Magallanes y de la Antártica Chilena,124,Última Esperanza,12401,Natales,9.352,8.871,412,66,3
12,Magallanes y de la Antártica Chilena,124,Última Esperanza,12402,Torres del Paine,98,95,3,0,0
